Product_ID,Price_ETB
7600,12534
7601,8371
7602,62031
7603,71894
7604,7065
7605,3465
7606,52047
7607,68689
7608,10921
7609,13632
7610,34410
7611,81025
7612,20362
7613,11060
7614,85840
7615,51107
7616,40559
7617,30072
7618,32436
7619,96687
7620,37257
7621,58095
7622,82124
7623,16579
7624,17216
7625,69051
7626,22371
7627,3754
7628,4617
7629,86982
7630,46781
7631,42634
7632,62420
7633,61245
7634,70865
7635,35715
7636,71908
7637,58316
7638,17719
7639,91448
7640,70695
7641,23214
7642,77451
7643,78336
7644,59850
7645,82722
7646,98171
7647,83352
7648,73932
7649,57023
7650,68620
7651,83868
7652,83834
7653,69974
7654,40597
7655,45514
7656,63141
7657,70745
7658,29780
7659,11748
7660,57925
7661,40362
7662,47953
7663,54038
7664,34063
7665,20420
7666,39799
7667,1393
7668,22
7669,68602
7670,99401
7671,17875
7672,45083
7673,37596
7674,61508
7675,70146
7676,1100
7677,90157
7678,64488
7679,99031
7680,62540
7681,39280
7682,1207
7683,56428
7684,38403
7685,78260
7686,30315
7687,956
7688,71865
7689,48984
7690,24726
7691,53977
7692,73482
7693,57302
7694,51750
7695,32764
7696,21410
7697,93718
7698,96625
7699,84681
7700,51091
7701,49602
7702,28923
7703,34479
7704,10392
7705,55353
7706,81972
7707,31409
7708,67723
7709,80385
7710,90964
7711,89747
7712,35643
7713,37323
7714,85004
7715,97386
7716,69732
7717,35245
7718,54130
7719,24651
7720,8983
7721,23918
7722,17917
7723,37967
7724,14474
7725,83488
7726,59692
7727,80977
7728,59355
7729,35679
7730,91822
7731,81635
7732,64496
7733,24623
7734,42037
7735,2552
7736,19952
7737,6515
7738,70129
7739,2910
7740,24381
7741,13415
7742,36987
7743,35293
7744,16399
7745,93752
7746,57474
7747,95313
7748,1085
7749,30524
7750,11832
7751,19760
7752,1940
7753,64704
7754,28477
7755,44825
7756,55092
7757,40848
7758,65335
7759,48689
7760,60786
7761,91358
7762,4169
7763,43296
7764,10525
7765,98388
7766,19158
7767,7355
7768,34941
7769,51445
7770,9366
7771,71207
7772,61633
7773,23813
7774,25201
7775,32788
7776,50024
7777,1663
7778,15995
7779,93684
7780,32641
7781,50446
7782,58069
7783,32406
7784,96691
7785,4402
7786,26116
7787,60412
7788,96390
7789,12325
7790,68316
7791,87304
7792,27331
7793,61984
7794,51013
7795,89328
7796,40918
7797,42354
7798,20799
7799,82475
7800,95461
7801,5539
7802,97622
7803,72044
7804,68288
7805,16019
7806,33212
7807,63085
7808,83702
7809,39176
7810,26057
7811,47251
7812,6837
7813,87395
7814,28555
7815,14811
7816,30938
7817,82966
7818,56916
7819,42544
7820,1984
7821,21946
7822,36198
7823,76647
7824,15692
7825,51889
7826,31872
7827,1180
7828,5514
7829,76172
7830,90548
7831,62304
7832,90240
7833,78156
7834,20325
7835,48689
7836,11738
7837,32610
7838,20679
7839,65535
7840,11990
7841,89918
7842,81097
7843,44367
7844,99567
7845,81947
7846,7881
7847,7844
7848,46608
7849,84495
7850,20184
7851,91934
7852,70310
7853,14086
7854,16502
7855,63952
7856,30507
7857,41525
7858,73194
7859,84505
7860,99191
7861,45533
7862,57513
7863,96110
7864,25302
7865,2808
7866,90351
7867,49524
7868,46955
7869,94958
7870,17669
7871,32869
7872,5185
7873,63619
7874,92628
7875,57354
